Country,Water.quant..Lakes.and.rivers,Water.qual..Lakes.and.rivers.,Alternative.ecosystems,tot.water.stress,agr.water.stress,serv.water.stress,indu.water.stress,total.water.use.effic,agr.water.use.effic,serv.water.use.effic,indu.water.use.effic,safe water,basic water,safe san,basic san,OD,Safe.not.basic..Water,Safe.not.basic.Sanitation,Basic.not.safe.Water,Basic.not.safe.Sanitation,General.Water,general.Sanitation,Hygiene,Wastewater,iwrm
Myanmar_total,NA,NA,1,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Nepal_total,,NA,NA,,,,,,,,,1,,,,,NA,NA,1,NA,,NA,NA,NA,
New Caledonia_total,1,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
New Zealand_total,,,,1,1,,1,,,,1,,,,,,,,,,,,,,
Nicaragua_total,NA,NA,1,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Nigeria_total,,,,1,,1,,,,,,,,,,,,,,,,,,,
North Macedonia_total,NA,NA,NA,1,1,1,,1,,1,,1,,1,,,NA,NA,1,1,NA,,NA,,
Pakistan_total,,,1,1,1,1,,,,,,,,,,,,,,,,,,,
Paraguay_total,NA,NA,NA,1,1,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1,
Peru_total,1,NA,NA,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Poland_total,NA,NA,NA,NA,1,,,,,,,,,,,,NA,NA,NA,NA,,NA,NA,NA,
Puerto Rico_total,NA,NA,1,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Oman_total,1,,1,1,1,,1,,,,1,,,,,,,,,,,,,,
Qatar_total,NA,NA,NA,1,,1,,,,1,,,,,,,NA,NA,NA,NA,,NA,NA,NA,
RÃƒÂ©union_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,1,NA,NA,NA,
Republic of Moldova_total,1,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Romania_total,,,,,1,,,,,,,,,,,,,,,,,,,,
Rwanda_total,NA,NA,NA,1,1,1,,,,1,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Samoa_total,NA,NA,,NA,,,,,,,,,,1,,,NA,NA,NA,1,NA,NA,NA,NA,
Sao Tome and Principe_total,NA,NA,NA,1,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Senegal_total,NA,NA,NA,1,1,,,,,,,,,,,,NA,NA,NA,,NA,NA,NA,1,
Serbia_total,NA,NA,NA,NA,,,,,,,,,,1,,,NA,NA,NA,1,NA,NA,NA,1,
Sierra Leone_total,,,1,,,,,,,,,,,,,,,,,,,,,,
Singapore_total,1,,1,,,,,,,,,,,,,,,,,,,,,,
Slovakia_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,1,NA,1,
Somalia_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,1,
South_Africa_total,,,,1,1,,1,,,,1,,,,,,,,,,,,,,
Spain_total,1,,,1,1,1,1,1,,1,,,,,,,,,,,,,,,
Sri Lanka_total,,,1,,,1,1,,,,,,,,,,,,,,,,,,
State of Palestine_total,,,,,,,1,,,,,,,,,,,,,,,,,,
Suriname_total,NA,NA,NA,NA,,,,,,,,,,1,,,NA,NA,NA,1,NA,NA,NA,NA,
Tajikistan_total,,,,,,1,1,,,,,,,,,,,,,,,,,,
Tunisia_total,NA,NA,NA,1,1,1,,,,,,,,,,,NA,NA,NA,NA,NA,NA,,NA,
Turkmenistan_total,NA,NA,NA,NA,,,1,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,
Tuvalu_total,NA,NA,NA,NA,,,,,,,,,,,,,NA,NA,NA,1,NA,NA,NA,NA,
